               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.014846,           0.0052287,          0.00070228,             0.99696,             0.99716,             0.99443,             0.84708,            0.012652,           0.0042368,          0.00022007,            0.001486,            0.001486,            0.001486
                  88,            0.014734,           0.0051072,          0.00068354,             0.99702,             0.99726,             0.99442,             0.84849,            0.012591,           0.0042251,          0.00021498,            0.001387,            0.001387,            0.001387
                  89,            0.014803,           0.0052067,          0.00066156,             0.99695,             0.99725,             0.99444,             0.84948,            0.012528,           0.0042099,          0.00020966,            0.001288,            0.001288,            0.001288
                  90,            0.014466,           0.0051169,          0.00068284,             0.99709,             0.99734,             0.99447,             0.85037,            0.012492,           0.0041995,          0.00020281,            0.001189,            0.001189,            0.001189
                  91,            0.014521,           0.0051132,          0.00059838,             0.99705,             0.99732,             0.99445,             0.85149,            0.012446,           0.0041879,          0.00019669,             0.00109,             0.00109,             0.00109
                  92,            0.014539,           0.0051411,          0.00063981,             0.99687,             0.99704,             0.99446,             0.85216,            0.012407,           0.0041777,          0.00019167,            0.000991,            0.000991,            0.000991
                  93,            0.014303,            0.005129,          0.00060854,             0.99695,             0.99707,             0.99445,             0.85311,            0.012372,           0.0041677,          0.00018831,            0.000892,            0.000892,            0.000892
                  94,            0.014128,            0.005028,          0.00057133,             0.99687,             0.99717,             0.99445,             0.85371,            0.012338,           0.0041569,          0.00018443,            0.000793,            0.000793,            0.000793
                  95,            0.014115,            0.004968,          0.00060715,             0.99701,             0.99739,             0.99443,             0.85467,            0.012307,           0.0041479,          0.00017886,            0.000694,            0.000694,            0.000694
                  96,            0.014019,           0.0049917,           0.0005968,             0.99699,             0.99731,             0.99442,             0.85548,             0.01228,           0.0041413,           0.0001749,            0.000595,            0.000595,            0.000595
                  97,            0.013846,           0.0050485,           0.0005639,             0.99703,             0.99739,             0.99439,             0.85621,             0.01225,           0.0041315,          0.00017101,            0.000496,            0.000496,            0.000496
                  98,            0.013864,           0.0049764,          0.00059978,             0.99678,             0.99726,              0.9944,             0.85726,            0.012221,           0.0041225,          0.00016727,            0.000397,            0.000397,            0.000397
                  99,            0.013704,            0.005014,          0.00054446,             0.99667,             0.99755,             0.99442,             0.85792,            0.012191,           0.0041148,          0.00016396,            0.000298,            0.000298,            0.000298
